NAME,POS,TEAM,AGE,FP
Ivan Prosvetov,G,CGY,26,-2.7
Corey Perry,RW,L.A,40,-2.7
Jordan Eberle,RW,SEA,35,-2.7
Patrik Laine,"LW,RW",MTL,27,-2.7
Simon Holmstrom,RW,NYI,24,-2.8
Rutger McGroarty,RW,PIT,21,-2.8
Matthew Savoie,"C,RW",EDM,21,-2.8
Ryan McLeod,C,BUF,26,-2.8
Joel Farabee,"LW,RW",CGY,26,-2.8
Cam York,D,PHI,25,-2.9
Jordan Spence,D,OTT,25,-2.9
Cole Sillinger,"C,RW",CBJ,22,-2.9
Alex Newhook,C,MTL,25,-2.9
Chandler Stephenson,C,SEA,31,-2.9
Jayden Struble,D,MTL,24,-3.1
Philip Broberg,D,STL,24,-3.1
Joel Edmundson,D,L.A,32,-3.1
Evgeny Dadonov,RW,N.J,37,-3.1
Casey Mittelstadt,C,BOS,27,-3.1
Yegor Sharangovich,"C,LW,RW",CGY,27,-3.1
Jordan Greenway,LW,BUF,29,-3.1
Alex Vlasic,D,CHI,24,-3.2
Alex Nedeljkovic,G,S.J,29,-3.2
Anthony Beauvillier,LW,WSH,28,-3.2
Damon Severson,D,CBJ,31,-3.3
Nicolas Hague,D,NSH,27,-3.3
Justus Annunen,G,NSH,25,-3.3
Nicholas Robertson,RW,TOR,24,-3.3
Maxim Tsyplakov,"LW,RW",NYI,27,-3.3
Jamie Oleksiak,D,SEA,33,-3.4
Matt Dumba,D,PIT,31,-3.4
Timothy Liljegren,D,S.J,26,-3.4
Logan Stanley,D,WPG,27,-3.4
Joonas Korpisalo,G,BOS,31,-3.4
Rasmus Ristolainen,D,PHI,31,-3.5
John Klingberg,D,S.J,33,-3.5
Bobby Brink,RW,PHI,24,-3.5
Anthony Mantha,RW,PIT,31,-3.5
Dmitry Kulikov,D,FLA,35,-3.6
Tyler Tucker,D,STL,26,-3.6
Samuel Ersson,G,PHI,25,-3.6
Michael Amadio,RW,OTT,29,-3.6
Jack Quinn,RW,BUF,24,-3.6
Morgan Barron,C,WPG,27,-3.6
Nick Cousins,LW,OTT,32,-3.6
Radek Faksa,C,DAL,32,-3.6
Colton Sissons,"C,LW",VGK,32,-3.6
Pavel Mintyukov,D,ANA,22,-3.7
Casey Cizikas,"C,LW",NYI,35,-3.7
Brayden Pachal,D,CGY,26,-3.8
Luke Evangelista,RW,NSH,24,-3.8
Yegor Chinakhov,"LW,RW",CBJ,25,-3.8
Sean Kuraly,C,BOS,33,-3.8
Mason Lohrei,D,BOS,25,-3.9
Arturs Silovs,G,PIT,24,-3.9
Philipp Grubauer,G,SEA,33,-3.9
Sam Steel,C,DAL,28,-3.9
J.T. Compher,C,DET,30,-3.9
Ondrej Palat,LW,N.J,35,-3.9
Kevin Stenlund,C,UTA,29,-3.9
Barclay Goodrow,C,S.J,33,-3.9
Jake Evans,C,MTL,29,-3.9
Steven Lorentz,"LW,RW",TOR,29,-3.9
Cody Ceci,D,L.A,32,-4
Justin Danforth,RW,BUF,33,-4
Nick Bjugstad,C,STL,33,-4
Alex Kerfoot,"C,LW,RW",UTA,31,-4
Zach Bogosian,D,MIN,35,-4.1
Mattias Samuelsson,D,BUF,26,-4.1
Teddy Blueger,C,VAN,31,-4.1
Jesper Boqvist,C,FLA,27,-4.1
Victor Olofsson,"LW,RW",UFA,30,-4.1
Drew O'Connor,LW,VAN,27,-4.1
Jamie Drysdale,D,PHI,23,-4.2
Kaedan Korczak,D,VGK,25,-4.2
Mathieu Joseph,RW,STL,29,-4.2
Mitchell Chaffee,RW,T.B,28,-4.2
Noah Cates,C,PHI,27,-4.2
Curtis Lazar,C,EDM,31,-4.2
Sam Malinski,D,COL,27,-4.3
Olen Zellweger,D,ANA,22,-4.3
Trevor Van Riemsdyk,D,WSH,34,-4.3
Cody Glass,"C,RW",N.J,26,-4.3
Brandon Saad,LW,VGK,33,-4.3
Miles Wood,LW,CBJ,30,-4.3
Jeff Petry,D,FLA,38,-4.4
Olli Maatta,D,UTA,31,-4.4
Denton Mateychuk,D,CBJ,21,-4.4
Arvid Soderblom,G,CHI,26,-4.4
Jason Dickinson,C,CHI,30,-4.4
Jack Drury,C,COL,26,-4.4
Mark Jankowski,C,CAR,31,-4.4
Jacob Bernard-Docker,D,DET,25,-4.5
Nick Jensen,D,OTT,35,-4.5
Pontus Holmberg,RW,T.B,27,-4.5
Peyton Krebs,C,BUF,25,-4.5
Ryan Lindgren,D,SEA,28,-4.6
Derek Forbort,D,VAN,34,-4.6
Ryker Evans,D,SEA,24,-4.6
Adam Gaudette,"C,RW",S.J,29,-4.6
Josh Doan,RW,BUF,24,-4.6
Thomas Novak,C,PIT,28,-4.6
Ty Emberson,D,EDM,25,-4.7
Kasperi Kapanen,RW,EDM,29,-4.7
Carl Grundstrom,RW,S.J,28,-4.7
Logan O'Connor,RW,COL,29,-4.7
Tanner Pearson,LW,WPG,33,-4.7
James Van Riemsdyk,LW,DET,36,-4.7
Aatu Raty,C,VAN,23,-4.7
Conor Timmins,D,BUF,27,-4.8
Lars Eller,C,OTT,36,-4.8
Christian Dvorak,C,PHI,30,-4.8
Tye Kartye,LW,SEA,24,-4.8
Jamie Benn,"C,LW",DAL,36,-4.8
Arseny Gritsyuk,RW,N.J,23,-4.9
Jonny Brodzinski,C,NYR,32,-4.9
Gage Goncalves,C,T.B,25,-4.9
Nick Blankenburg,D,NSH,27,-5
Drew Helleson,D,ANA,24,-5
Joel Hanley,D,CGY,34,-5
Danton Heinen,LW,PIT,30,-5
Cole Koepke,LW,WPG,27,-5
Connor Dewar,C,PIT,26,-5
Emil Heineman,LW,NYI,24,-5
Andre Burakovsky,LW,CHI,31,-5.1
Anthony Duclair,LW,NYI,30,-5.1
Mattias Janmark,C,EDM,33,-5.1
Erik Gustafsson (D),D,DET,34,-5.2
Joel Armia,RW,L.A,32,-5.2
Mason Appleton,"C,RW",DET,30,-5.2
Henri Jokiharju,D,BOS,26,-5.3
Justin Barron,D,NSH,24,-5.3
John Marino,D,UTA,28,-5.3
Philip Tomasino,"C,RW",PIT,24,-5.3
Alex Wennberg,C,S.J,31,-5.3
Oskar Sundqvist,C,STL,32,-5.3
Ryan Graves,D,PIT,30,-5.4
Andrew Peeke,D,BOS,28,-5.4
Nick Perbix,D,NSH,27,-5.4
Ryan Poehling,C,ANA,27,-5.4
Michael Carcone,LW,UTA,29,-5.4
Nate Schmidt,D,UTA,34,-5.5
Connor Brown,RW,N.J,32,-5.5
Taylor Raddysh,RW,NYR,28,-5.5
Elmer Soderblom,LW,DET,24,-5.5
Colin Blackwell,C,DAL,33,-5.5
Ryan Lomberg,LW,CGY,31,-5.5
Nicolas Deslauriers,LW,PHI,35,-5.5
Zayne Parekh,D,CGY,19,-5.6
Adam Klapka,RW,CGY,25,-5.6
Blake Lizotte,C,PIT,28,-5.6
Fedor Svechkov,C,NSH,22,-5.6
Marcus Johansson,LW,MIN,35,-5.6
Brian Dumoulin,D,L.A,34,-5.7
Nico Sturm,C,MIN,30,-5.7
Alex Turcotte,"C,LW",L.A,25,-5.7
Simon Nemec,D,N.J,22,-5.8
Albert Johansson,D,DET,25,-5.8
Ilya Mikheyev,RW,CHI,31,-5.8
Adam Edstrom,C,NYR,25,-5.8
Ty Dellandrea,C,S.J,25,-5.9
Juuso Parssinen,C,NYR,25,-5.9
David Kampf,C,TOR,31,-6
Calle Jarnkrok,C,TOR,34,-6.1
Urho Vaakanainen,D,NYR,27,-6.2
Justin Brazeau,RW,PIT,28,-6.2
Jakob Pelletier,"LW,RW",T.B,25,-6.2
Parker Wotherspoon,D,PIT,28,-6.4
Pierre Engvall,LW,NYI,29,-6.4
Andrew Copp,"C,LW",DET,31,-6.4
Wyatt Kaiser,D,CHI,23,-6.5
Tyler Kleven,D,OTT,24,-6.7
John Beecher,C,BOS,24,-6.7
Tomas Nosek,LW,FLA,33,-6.7
Jonatan Berggren,RW,DET,25,-6.8
Sam Lafferty,"C,RW",CHI,31,-6.9
Shakir Mukhamadullin,D,S.J,24,-7
Hendrix Lapierre,C,WSH,24,-7
Johnathan Kovacevic,D,N.J,28,-7.1
Egor Zamula,D,PHI,25,-7.1
Justin Holl,D,DET,34,-7.2
Fraser Minten,C,BOS,21,-7.3
