RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
82,Sergei Bobrovsky,N,G,9,FLA,36,CA$10.0,2.9,0.1,0.2,0,43.7,-38.3,, ,,,,,,,,,,,,,,,,,,,,55,30,19,6,4,"1,417",142,0.909,2.58
83,Darcy Kuemper,N,G,10,L.A,35,CA$5.3,2.8,0.1,0.2,0,53.1,-29.9,, ,,,,,,,,,,,,,,,,,,,,52,28,18,6,4,"1,360",135,0.91,2.59
84,Morgan Rielly,N,D,32,TOR,32,CA$7.5,2.5,0,0.1,0,136.3,52.3,, ,79,22.2,7,44,51,145,1,19,0,0,127,50,4,25,1,0,0,0%,,,,,,,,,,
85,Brandt Clarke,N,D,33,L.A,23,CA$0.9,2.5,0,0.1,0.1,169.7,84.7,,+,79,19.3,7,31,38,154,1,10,0,0,135,50,3,51,1,0,0,0%,,,,,,,,,,
86,Roope Hintz,N,C,21,DAL,29,CA$8.5,8.3,0.1,0.1,0,104.2,18.2,, ,80,18.1,32,41,73,188,9,22,1,2,48,59,8,32,5,455,384,54%,,,,,,,,,,
87,Jake McCabe,N,D,34,TOR,32,CA$4.4,2.4,0,0,0,164.3,77.3,, ,77,21.3,5,22,27,89,0,0,0,1,150,156,6,49,1,0,0,0%,,,,,,,,,,
88,Devon Toews,N,D,35,COL,32,CA$7.3,2.4,0,0,0,131.6,43.6,, ,81,24.6,11,38,48,156,0,3,0,0,119,60,8,28,2,0,0,0%,,,,,,,,,,
89,Gustav Forsling,N,D,36,FLA,29,CA$5.8,2.4,0,0,0,135.7,46.7,, ,81,23,11,26,37,189,0,1,0,1,103,89,8,32,2,0,0,0%,,,,,,,,,,
89,Filip Gustavsson,N,G,11,MIN,27,CA$3.8,2.7,0,0,0,51.2,-37.8,, ,,,,,,,,,,,,,,,,,,,,55,29,19,6,4,"1,421",142,0.909,2.58
89,Elias Pettersson,N,"C,LW",21,VAN,27,CA$11.6,8.2,0.1,0,0,65.1,-23.9,,+,79,20.1,30,50,81,187,10,25,1,2,84,97,2,19,5,541,588,48%,,,,,,,,,,
89,Nico Hischier,N,C,23,N.J,27,CA$7.3,8.2,0.1,0,0,91.8,2.8,, ,79,20.6,34,42,77,214,11,24,1,2,60,49,6,21,5,"1,017",817,55%,,,,,,,,,,
93,Sidney Crosby,N,C,24,PIT,38,CA$8.7,8.1,0.1,0,0,40.2,-52.8,, ,82,20.5,36,56,92,244,10,24,0,0,42,77,-3,36,4,"1,044",806,56%,,,,,,,,,,
94,Wyatt Johnston,N,"C,RW",23,DAL,22,CA$8.4,7.6,0.1,-0.1,0,66.8,-27.2,, ,82,18.8,33,37,71,210,9,21,2,2,46,51,6,28,5,400,415,49%,,,,,,,,,,
95,John Carlson,N,D,37,WSH,36,CA$8.0,2.2,0,-0.1,0,104.9,9.9,, ,77,23.3,8,37,45,158,3,15,0,0,139,63,2,27,1,0,0,0%,,,,,,,,,,
96,Nikolaj Ehlers,N,"LW,RW",22,CAR,30,CA$8.5,8,0.1,-0.2,0,90.3,-5.7,,+,76,17.8,29,47,75,228,6,24,0,0,38,46,8,27,5,6,14,30%,,,,,,,,,,
